song_name,artist_name
Vertigo,Anya Marina
Peachtree shuffle,daily bread
Zip Up My Fly,Malcolm Todd
Youngest Daughter,Superheaven
Feel so close,Calvin Harris
iPod Touch,Ninajirachi
Not,Big Thief
Use Your Heart,SWV
Happy,Pharrell Williams
love don't cost a thing,Jennifer Lopez
Move,Adam Port
A Couple Minutes,Olivia Dean
Won't Stop (don't),Chriss Stussy
falling behind,Laufey
Loving you,BLiNKR
This must be the place,talking heads
No Such Thing,John Mayer
Last Train to London,Electric Light Orchestra
Trace Me Onto You,Title Fight
Happy,Pharrell Williams
Xtal,Aphex Twin
Wicked Styley,Arcy Drive
weird fishes,Radiohead
Showstoppa,Morgan Seatree and Tasy Lopez
The color violet,Tory Lanez
Out of Touch,Daryl Hall & John Oates
Party in the USA,Miley Cyrus
Travelin Solider,Cody Johnson
Instant crush,daft punk
Things to Do,Zach Top
Happy,Pharrell Williams
Tainted Love,Soft Cell
Punkrocker,Teddybears
Possum,Phish
Losing You,Solange
Harleys in Hawaii,Katy Perry
Paradise,Sade
Lay it down,Lloyde
Time After Time,Chet Baker
Appetite,Zach Bryan
I Can't Go For That,Hall and Oates
Love Sosa,Chief Keef
Delete Ya,Djo
love yours,J Cole
Shakedown Street,the Grateful Dead
